country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Global,2044,DTP1,static,132891323,37791414.672699645,49956029.70776049,45143878.61953987,5106157.0849020025,2881922.5358570674,7068101.022271989,15056180.643031059,11.329694296918888
Global,2044,DTP3,historical_progress,132891323,37791414.672699645,49956029.70776049,45143878.61953987,1683840.2859036948,499560.2970776053,3081368.687180943,5264769.270162243,3.9617103293961815
Global,2044,DTP3,static,132891323,37791414.672699645,49956029.70776049,45143878.61953987,7037122.990021086,5662946.846854161,9317525.802043948,22017595.638919197,16.568121335445802
Global,2044,measles1,historical_progress,132613055,37712281.27903072,49851424.19883107,45049349.522138216,2008078.939748957,498514.2419883111,3456736.5862722336,5963329.768009502,4.49678937568364
Global,2044,measles1,static,132613055,37712281.27903072,49851424.19883107,45049349.522138216,7536894.121707955,6392093.790255788,9897375.356800381,23826363.268764123,17.966830843889483
Global,2045,DTP1,historical_progress,132823314.00000001,37994563.12723737,50224569.277339056,44604181.59542361,1514593.9422781304,502245.692773391,2840408.0477525196,4857247.682804041,3.6569240267593686
Global,2045,DTP1,static,132823314.00000001,37994563.12723737,50224569.277339056,44604181.59542361,5133605.327562631,2897414.3642082224,6983601.568425278,15014621.26019613,11.304206172868213
Global,2045,DTP3,historical_progress,132823314.00000001,37994563.12723737,50224569.277339056,44604181.59542361,1575653.7713347923,502245.692773391,2910311.858818057,4988211.32292624,3.755523915723289
Global,2045,DTP3,static,132823314.00000001,37994563.12723737,50224569.277339056,44604181.59542361,7074951.175925104,5693388.12326657,9206134.37753057,21974473.676722243,16.544138988071204
Global,2045,measles1,historical_progress,132619220.99999999,37936181.62674019,50147395.4536418,44535643.91961802,1889460.4898171877,501473.9545364185,3267870.6091295932,5658805.053483199,4.2669569394342926
Global,2045,measles1,static,132619220.99999999,37936181.62674019,50147395.4536418,44535643.91961802,7581641.168486008,6430044.08055089,9784513.856579714,23796199.105616614,17.943250553112975
